recipe_id,ingredient_order,ingredient_original,quantity,unit_original,quantity_normalized_g,quantity_normalized_ml,source_page
REC_0001,1,habas frescas sin cascara sancochadas,1,puñado,,,10-11
REC_0001,2,papa amarilla sancochada,1,unidad pequeña,,,10-11
REC_0001,3,leche evaporada,2,onza,,,10-11
REC_0001,4,aceite vegetal,1,cucharadita,,,10-11
REC_0001,5,caldo,0.75,taza,,,10-11
REC_0002,1,zapallo,1,trozo chico,,,12-13
REC_0002,2,papa amarilla,1,unidad,,,12-13
REC_0002,3,leche evaporada,1,onza,,,12-13
REC_0002,4,aceite vegetal,1,cucharadita,,,12-13
REC_0002,5,caldo,1,onza,,,12-13
REC_0003,1,papa amarilla,1,unidad chica,,,14-15
REC_0003,2,higado de pollo,1,unidad,,,14-15
REC_0003,3,aceite vegetal,1,cucharadita,,,14-15
REC_0003,4,caldo,2,onza,,,14-15
REC_0004,1,camote amarillo chico sancochado,1,unidad,,,16-17
REC_0004,2,leche evaporada,2,onza,,,16-17
REC_0004,3,aceite vegetal,1,cucharadita,,,16-17
REC_0004,4,agua,3,onza,,,16-17
REC_0005,1,zapallo,1,tajada delgada,,,18-19
REC_0005,2,maicena,1.5,cucharada,,,18-19
REC_0005,3,leche evaporada,5,cucharada,,,18-19
REC_0005,4,azucar rubia,0.25,cucharadita,,,18-19
REC_0005,5,aceite vegetal,0.5,cucharadita,,,18-19
REC_0005,6,agua,0.125,taza,,,18-19
REC_0005,7,canela,,,,,18-19
REC_0005,8,clavo de olor,,,,,18-19
REC_0006,1,zanahoria,1,rodaja delgada,,,20-21
REC_0006,2,higado de pollo sancochado,2,cucharada,,,20-21
REC_0006,3,papa amarilla sancochada,0.25,unidad mediana,,,20-21
REC_0006,4,aceite vegetal,0.5,cucharadita,,,20-21
REC_0006,5,leche evaporada,3,cucharada,,,20-21
REC_0006,6,caldo,2,cucharada,,,20-21
REC_0007,1,zanahoria,1,tajada gruesa,,,22-23
REC_0007,2,maicena,1,cucharadita,,,22-23
REC_0007,3,aceite vegetal,0.5,cucharadita,,,22-23
REC_0007,4,leche evaporada,5,cucharada,,,22-23
REC_0007,5,agua,8,cucharada,,,22-23
REC_0007,6,canela,,,,,22-23
REC_0007,7,clavo de olor,,,,,22-23
REC_0008,1,harina de 7 semillas,1,cucharada colmada,,,24-25
REC_0008,2,leche evaporada,6,cucharada,,,24-25
