department,variable,value,unit,description,source_page
Tumbes,familia_tipo_n_miembros,4,miembros,Número de miembros de la familia tipo considerada para los cálculos dietéticos del recetario,6
Tumbes,familia_tipo_composicion,"Padre y madre de 18 a 29 años, hija de 10 años, hijo de 5 años",,Composición etaria/de sexo de la familia tipo,6
Tumbes,familia_tipo_area_residencia,"Área urbana; estratos socioeconómicos medio, medio bajo y bajo",,Área de residencia y estrato socioeconómico de la familia tipo considerada,6
Tumbes,aspecto_nutricional_considerado,"Población con desequilibrio calórico, proteico, carbohidratos disponibles, grasas y déficit de hierro, zinc y vitamina A",,Aspecto nutricional considerado para el diseño de las recetas,6
Tumbes,madre_edad_anios,18-29,años,Edad de referencia del miembro 'madre' de la familia tipo,6
Tumbes,madre_talla_mediana_m,1.54,m,Talla mediana del miembro 'madre' de la familia tipo,6
Tumbes,madre_peso_mediana_kg,52,kg,Peso mediana del miembro 'madre' de la familia tipo,6
Tumbes,madre_tmb_kcal,1257,kcal,Tasa metabólica basal (TMB) del miembro 'madre',6
Tumbes,madre_naf,1.55,,Nivel de actividad física (NAF) del miembro 'madre',6
Tumbes,madre_energia_kcal,2003,kcal,Requerimiento de energía diario del miembro 'madre',6
Tumbes,madre_proteinas_10pct_g,50.1,g,Requerimiento de proteínas diario del miembro 'madre' al 10% del valor calórico total,6
Tumbes,madre_proteinas_15pct_g,75.1,g,Requerimiento de proteínas diario del miembro 'madre' al 15% del valor calórico total,6
Tumbes,madre_vitaminaA_ug,700,ug,Requerimiento de vitamina A diario del miembro 'madre',6
Tumbes,madre_hierro_mg,29.4,mg,Requerimiento de hierro diario del miembro 'madre',6
Tumbes,madre_zinc_mg,4.9,mg,Requerimiento de zinc diario del miembro 'madre',6
Tumbes,padre_edad_anios,18-29,años,Edad de referencia del miembro 'padre' de la familia tipo,6
Tumbes,padre_talla_mediana_m,1.66,m,Talla mediana del miembro 'padre' de la familia tipo,6
Tumbes,padre_peso_mediana_kg,60.6,kg,Peso mediana del miembro 'padre' de la familia tipo,6
Tumbes,padre_tmb_kcal,1605,kcal,Tasa metabólica basal (TMB) del miembro 'padre',6
Tumbes,padre_naf,1.55,,Nivel de actividad física (NAF) del miembro 'padre',6
Tumbes,padre_energia_kcal,2620,kcal,Requerimiento de energía diario del miembro 'padre',6
Tumbes,padre_proteinas_10pct_g,65.5,g,Requerimiento de proteínas diario del miembro 'padre' al 10% del valor calórico total,6
Tumbes,padre_proteinas_15pct_g,98.3,g,Requerimiento de proteínas diario del miembro 'padre' al 15% del valor calórico total,6
Tumbes,padre_vitaminaA_ug,900,ug,Requerimiento de vitamina A diario del miembro 'padre',6
Tumbes,padre_hierro_mg,13.7,mg,Requerimiento de hierro diario del miembro 'padre',6
Tumbes,padre_zinc_mg,7,mg,Requerimiento de zinc diario del miembro 'padre',6
Tumbes,hija_edad_anios,10,años,Edad de referencia del miembro 'hija' de la familia tipo,6
Tumbes,hija_talla_mediana_m,1.42,m,Talla mediana del miembro 'hija' de la familia tipo,6
Tumbes,hija_peso_mediana_kg,34,kg,Peso mediana del miembro 'hija' de la familia tipo,6
Tumbes,hija_tmb_kcal,,kcal,Tasa metabólica basal (TMB) del miembro 'hija',6
Tumbes,hija_naf,,,Nivel de actividad física (NAF) del miembro 'hija',6
Tumbes,hija_energia_kcal,1689,kcal,Requerimiento de energía diario del miembro 'hija',6
Tumbes,hija_proteinas_10pct_g,42.2,g,Requerimiento de proteínas diario del miembro 'hija' al 10% del valor calórico total,6
Tumbes,hija_proteinas_15pct_g,63.3,g,Requerimiento de proteínas diario del miembro 'hija' al 15% del valor calórico total,6
Tumbes,hija_vitaminaA_ug,600,ug,Requerimiento de vitamina A diario del miembro 'hija',6
Tumbes,hija_hierro_mg,8.9,mg,Requerimiento de hierro diario del miembro 'hija',6
Tumbes,hija_zinc_mg,7.2,mg,Requerimiento de zinc diario del miembro 'hija',6
