recipe_id,department,component,ingredient_order,ingredient_original,quantity,unit_original,quantity_normalized_g,quantity_normalized_ml,source_page
TUM_REC_0001,Tumbes,Ensalada criolla,1,tomate,2,tomates medianos,,,13-14
TUM_REC_0001,Tumbes,Ensalada criolla,2,cebolla,1,cebolla pequeña,,,13-14
TUM_REC_0001,Tumbes,Ensalada criolla,3,perejil,8,hojas,,,13-14
TUM_REC_0001,Tumbes,Ensalada criolla,4,ají amarillo,0.25,,,,13-14
TUM_REC_0001,Tumbes,Ensalada criolla,5,limón,1,unidad,,,13-14
TUM_REC_0001,Tumbes,Ensalada criolla,6,sal yodada,,"al gusto, con moderación",,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,1,arroz,1.25,tazas,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,2,frijol panamito,1,taza,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,3,pota,200,g,200,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,4,aceite vegetal,9,cucharadas,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,5,cebolla,0.5,cebolla mediana,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,6,tomate,0.5,tomate pequeño,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,7,harina de maíz,2,cucharadas,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,8,huevo,2,unidad,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,9,ajo,3,cucharaditas,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,10,mostaza y pimienta,,al gusto,,,13-14
TUM_REC_0001,Tumbes,Guiso de panamito con chicharrón de pota,11,sal yodada,,con moderación,,,13-14
TUM_REC_0001,Tumbes,Refresco de maíz morado,1,maíz morado,2,unidades,,,13-14
TUM_REC_0001,Tumbes,Refresco de maíz morado,2,azúcar,8,cucharaditas,,,13-14
TUM_REC_0001,Tumbes,Refresco de maíz morado,3,limón,1,unidad,,,13-14
TUM_REC_0001,Tumbes,Fruta,1,melón,4,tajadas medianas picadas,,,13-14
