recipe_id,department,recipe_number,recipe_name,servings,energy_kcal_per_serving,protein_g_per_serving,carbohydrates_g_per_serving,iron_mg_per_serving,vitamin_a_ug_per_serving,zinc_mg_per_serving,preparation,source_page,source_type
TUM_REC_0001,Tumbes,1,"Guiso de panamito con chicharrón de pota, ensalada criolla, melón y refresco de maíz morado",4,789,32,113,7,159,4,"Ensalada criolla: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar y picar el perejil. 4. Lavar, despepitar y cortar el ají amarillo. 5. Aliñar la ensalada con limón y sal yodada. | Guiso de panamito con chicharrón de pota: 1. Preparar el arroz graneado. 2. Escoger el frijol, lavar y remojar, un día antes de la preparación. 3. Freír en aceite vegetal el ajo molido, la cebolla y tomate picado en cuadraditos; adicionar el frijol panamito, la sal yodada con moderación y dejar sancochar. 4. Limpiar, quitar la piel a la pota, sancochar. 5. Cortar la pota en tiras, mezclar con mostaza y harina de maíz; luego rebosar con huevo batido y freír en aceite vegetal. 6. Servir el guiso de panamito con chicharrón de pota y arroz graneado. | Refresco de maíz morado: 1. Hervir el maíz morado. 2. Adicionar azúcar y limón. 3. Enfriar y servir.",13-14,familiar_regional
TUM_REC_0002,Tumbes,2,"Majado con pescado frito, ensalada de cebolla, tomate y lechuga, mandarina y refresco de limón",4,784,34,105,3,129,2,"Ensalada de cebolla, tomate y lechuga: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar la lechuga. 4. Agregar aceite vegetal a la ensalada. 5. Aliñar la ensalada con limón y sal yodada. | Majado con pescado frito: 1. Preparar el arroz graneado. 2. Pelar el plátano, cortar en trozos y freír en aceite vegetal, retirar y majar (chancar); en una sartén, dorar ligeramente la cebolla y agregar el majado de plátano, culantro y ají amarillo. 3. Lavar el pescado, filetear y condimentar con ajo molido, sal yodada y pimienta, freír en aceite vegetal. 4. Servir el majado de plátano acompañado de pescado frito y arroz graneado. | Refresco de limón: 1. Exprimir el limón. 2. Adicionar azúcar. 3. Servir.",15-16,familiar_regional
TUM_REC_0003,Tumbes,3,"Tallarín verde con hígado, ensalada de pepinillo, naranja y refresco de piña",4,811,39,113,17,5633,6,"Ensalada de pepinillo: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar, pelar y cortar el pepinillo. 4. Aliñar la ensalada con limón y sal yodada con moderación. | Tallarín verde con hígado: 1. Sancochar el fideo con un chorrito de aceite, escurrir y reservar. 2. Limpiar el hígado, lavar, filetear y sazonar con ajo molido, pimienta, comino y sal yodada, freír en aceite vegetal. 3. Para preparar la salsa, freír en aceite vegetal la cebolla picada en cuadraditos y el ajo molido; adicionar la espinaca previamente pasada por agua caliente; añadir queso, leche evaporada y sal yodada; licuar. 4. Para obtener la crema huancaína, licuar el ají amarillo, el queso, la leche evaporada y la sal yodada. 5. Lavar la papa, sancochar, pelar y cortar en tajadas. 6. Servir el tallarín verde con hígado frito acompañado de crema a la huancaína, una tajada de papa y huevo duro. | Refresco de piña: 1. Licuar la piña; colar. 2. Adicionar azúcar. 3. Servir.",17-18,familiar_regional
TUM_REC_0004,Tumbes,4,"Picante de sangrecita con patacones al ajo, ensalada rusa, piña y refresco de carambola",4,807,25,119,31,408,2,"Ensalada rusa: 1. Lavar las hojas de lechuga. 2. Lavar, sancochar y picar la betarraga y zanahoria. 3. Pelar y hervir la arveja fresca. 4. Desgranar y hervir el choclo. 5. Aliñar la ensalada con limón y sal yodada. | Picante de sangrecita con patacones al ajo: 1. Cortar el plátano en porciones según tamaño deseado de patacones. 2. Pelar el plátano, cortar en trozos y freír en aceite vegetal, retirar y majar (chancar). Sumergir en agua con ajo; luego freír por segunda vez hasta que se doren. 3. Para preparar el picante de sangrecita, freír en el aceite vegetal la cebolla picada en cuadraditos, el ajo y el ají amarillo molido; agregar la sangrecita picada, condimentar con pimienta, comino y sal yodada. Sofreír por 5 minutos. 4. En un recipiente, vaciar la preparación anterior; adicionar culantro, hierbabuena, cebolla china y ají amarillo picado. Mover. 5. Servir el picante de sangrecita con patacones al ajo y arroz graneado. | Refresco de carambola: 1. Hervir la carambola, licuar y colar. 2. Adicionar azúcar. 3. Servir.",19-20,familiar_regional
TUM_REC_0005,Tumbes,5,"Guiso de pota con frijol, ensalada de espinaca, plátano de seda y refresco de maracuyá",4,825,33,118,11,658,4,"Ensalada de espinaca: 1. Lavar y cortar el tomate. 2. Lavar y picar la espinaca. 3. Picar el queso. 4. Aliñar la ensalada con limón y sal yodada con moderación. | Guiso de pota con frijol: 1. Preparar el arroz graneado. 2. Remojar el frijol un día anterior a la preparación; hervir. 3. Freír en aceite vegetal la cebolla y el ajo molido, adicionar el frijol sancochado y sal yodada. Hervir. 4. Lavar la pota, quitar la piel y picar en cuadraditos. Reservar. 5. Freír en aceite vegetal el ajo molido, la cebolla y tomate picado, sazonar con pimienta. Agregar la pota sancochada, la zanahoria y la hoja de laurel. Hervir. 6. Servir el guiso de pota con frijol acompañado de arroz. | Refresco de maracuyá: 1. Licuar el maracuyá; colar. 2. Adicionar azúcar. 3. Servir.",21-22,familiar_regional
TUM_REC_0006,Tumbes,6,"Corazón con zarandaja a la jardinera, ensalada de palta, mandarina y refresco de maíz morado",4,793,32,114,7,390,7,"Ensalada de palta: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar, pelar, despepitar y cortar la palta. 4. Aliñar la ensalada con limón y sal yodada. | Corazón con zarandaja a la jardinera: 1. Preparar el arroz graneado. 2. Remojar el frijol zarandaja un día antes y hervir. 3. Limpiar el corazón de pollo, partir por la mitad, sazonar con ajo molido, sal yodada y vinagre; freír en aceite vegetal. 4. Freír en aceite vegetal la cebolla y tomate, agregar la zanahoria picada, la arveja fresca, el brócoli, agua y dejar cocinar; luego, añadir el frijol zarandaja cocido y el corazón frito; mezclar. 5. Servir el corazón con zarandaja a la jardinera acompañada de arroz graneado. | Refresco de maíz morado: 1. Hervir el maíz morado. 2. Adicionar azúcar y limón. 3. Enfriar y servir.",23-24,familiar_regional
TUM_REC_0007,Tumbes,7,"Pota a la italiana, ensalada de palta, uva y refresco de limón",4,812,29,117,5,365,4,"Ensalada de palta: 1. Cortar a la pluma y lavar la cebolla. 2. Lavar, pelar, despepitar y cortar la palta. 3. Aliñar la ensalada con limón y sal yodada. | Pota a la italiana: 1. Preparar el arroz graneado. 2. Freír la papa en bastones y reservar. 3. Cocinar la pota con agua y sal yodada, luego quitar la piel y reservar. 4. Freír en aceite vegetal la cebolla y tomate picado, el ají colorado y ají amarillo molido. Luego, agregar la pota en tiras, la zanahoria picada, la arveja fresca, la papa frita, sal yodada y la hoja de laurel; mezclar y dejar cocinar por algunos minutos. 5. Servir la pota a la italiana acompañada con arroz graneado. | Refresco de limón: 1. Exprimir el limón. 2. Adicionar azúcar. 3. Servir.",25-26,familiar_regional
TUM_REC_0008,Tumbes,8,"Pescado saltado con pallar, ensalada de colores, piña y refresco de manzana",4,809,34,118,7,334,3,"Ensalada de colores: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar, pelar, hervir y cortar la zanahoria. 4. Lavar y cortar la caigua. 5. Lavar la lechuga. 6. Aliñar la ensalada con limón y sal yodada. | Pescado saltado con pallar: 1. Preparar el arroz graneado. 2. Remojar el pallar un día antes y hervir. 3. Freír en aceite vegetal la cebolla y tomate picado, sazonar con pimienta y sal yodada. Adicionar el pallar sancochado, mezclar y cocinar. 4. Condimentar el pescado con ajo molido, pimienta y sal yodada; freír en aceite vegetal. Agregar el tomate, la cebolla picada en gajos y el ají amarillo en tiras. Hervir. 5. Servir el pescado saltado con pallar acompañado de arroz graneado. | Refresco de manzana: 1. Hervir la manzana, licuar y colar. 2. Adicionar azúcar. 3. Enfriar y servir.",27-28,familiar_regional
TUM_REC_0009,Tumbes,9,"Sudado de caballa, ensalada de lechuga, pepinillo y tomate, uva y refresco de naranja",4,797,30,120,5,123,3,"Ensalada de Lechuga, pepinillo y tomate: 1. Lavar y cortar el tomate. 2. Lavar, pelar y cortar el pepinillo. 3. Lavar la lechuga. 4. Aliñar la ensalada con limón y sal yodada. | Sudado de caballa: 1. Preparar el arroz graneado. 2. Pelar la yuca, lavar, cortar y sancochar. 3. Lavar y cortar el pescado. 4. Freír en aceite vegetal el ajo y ají colorado molido; agregar el pescado, el pimiento en tiras, la cebolla y el tomate en gajos. Hervir. 5. Una vez cocido el pescado añadir la chicha de jora y el culantro picado. 6. Servir el sudado de caballa acompañado de yuca y arroz graneado. | Refresco de naranja: 1. Exprimir la naranja. 2. Adicionar azúcar. 3. Servir.",29-30,familiar_regional
TUM_REC_0010,Tumbes,10,"Cachema frita con patacones, ensalada de palta, papaya y refresco de maracuyá",4,765,31,108,4,204,2,"Ensalada de palta: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar, pelar, despepitar y cortar la palta. 4. Aliñar la ensalada con limón y sal yodada. | Cachema frita con patacones: 1. Preparar el arroz graneado. 2. Cortar el plátano en pequeñas porciones según tamaño deseado de patacones. 3. Freír en aceite vegetal el trozo de plátano, luego sacar y aplastar caliente; seguidamente, freír por segunda vez hasta que se dore. 4. Sazonar el pescado con sal yodada y pimienta, rebosar con harina de trigo y huevo batido; freír en aceite vegetal. 5. Servir la cachema frita con patacones y arroz graneado. | Refresco de maracuyá: 1. Licuar el maracuyá; colar. 2. Adicionar azúcar. 3. Servir.",31-32,familiar_regional
