sex,age_days,l,m,s
1,0,1.00000,49.88420,0.03795
1,1,1.00000,50.06010,0.03785
1,2,1.00000,50.23590,0.03775
1,3,1.00000,50.41180,0.03764
1,4,1.00000,50.58760,0.03754
1,5,1.00000,50.76350,0.03744
1,6,1.00000,50.93930,0.03734
1,7,1.00000,51.11520,0.03723
1,8,1.00000,51.29100,0.03713
1,9,1.00000,51.46690,0.03703
1,10,1.00000,51.64270,0.03693
1,11,1.00000,51.81860,0.03682
1,12,1.00000,51.99440,0.03672
1,13,1.00000,52.17020,0.03662
1,14,1.00000,52.34610,0.03652
1,15,1.00000,52.49780,0.03645
1,16,1.00000,52.64880,0.03639
1,17,1.00000,52.79900,0.03633
1,18,1.00000,52.94830,0.03627
1,19,1.00000,53.09670,0.03621
1,20,1.00000,53.24410,0.03615
1,21,1.00000,53.39050,0.03609
1,22,1.00000,53.53600,0.03603
1,23,1.00000,53.68050,0.03597
1,24,1.00000,53.82390,0.03592
1,25,1.00000,53.96640,0.03586
1,26,1.00000,54.10790,0.03581
1,27,1.00000,54.24850,0.03575
1,28,1.00000,54.38810,0.03570
1,29,1.00000,54.52680,0.03565
1,30,1.00000,54.66450,0.03559
1,31,1.00000,54.80120,0.03554
1,32,1.00000,54.93680,0.03549
1,33,1.00000,55.07140,0.03544
1,34,1.00000,55.20490,0.03539
1,35,1.00000,55.33740,0.03534
1,36,1.00000,55.46880,0.03529
1,37,1.00000,55.59920,0.03524
1,38,1.00000,55.72850,0.03520
1,39,1.00000,55.85680,0.03515
1,40,1.00000,55.98410,0.03510
1,41,1.00000,56.11040,0.03506
1,42,1.00000,56.23570,0.03501
1,43,1.00000,56.35990,0.03496
1,44,1.00000,56.48330,0.03492
1,45,1.00000,56.60560,0.03488
1,46,1.00000,56.72690,0.03483
1,47,1.00000,56.84720,0.03479
1,48,1.00000,56.96660,0.03475
1,49,1.00000,57.08510,0.03470
1,50,1.00000,57.20260,0.03466
1,51,1.00000,57.31920,0.03462
1,52,1.00000,57.43490,0.03458
1,53,1.00000,57.54970,0.03454
1,54,1.00000,57.66370,0.03450
1,55,1.00000,57.77670,0.03446
1,56,1.00000,57.88890,0.03442
1,57,1.00000,58.00030,0.03438
1,58,1.00000,58.11090,0.03434
1,59,1.00000,58.22070,0.03431
1,60,1.00000,58.32990,0.03427
1,61,1.00000,58.43840,0.03423
1,62,1.00000,58.54630,0.03420
1,63,1.00000,58.65360,0.03416
1,64,1.00000,58.76030,0.03412
1,65,1.00000,58.86640,0.03409
1,66,1.00000,58.97180,0.03405
1,67,1.00000,59.07660,0.03402
1,68,1.00000,59.18080,0.03398
1,69,1.00000,59.28430,0.03395
1,70,1.00000,59.38720,0.03392
1,71,1.00000,59.48940,0.03388
1,72,1.00000,59.59100,0.03385
1,73,1.00000,59.69200,0.03382
1,74,1.00000,59.79230,0.03379
1,75,1.00000,59.89200,0.03375
