sex,age_days,l,m,s
1,0,0.34870,3.34640,0.14602
1,1,0.31270,3.31740,0.14693
1,2,0.30290,3.33700,0.14676
1,3,0.29590,3.36270,0.14647
1,4,0.29030,3.39150,0.14611
1,5,0.28550,3.42230,0.14571
1,6,0.28130,3.45450,0.14528
1,7,0.27760,3.48790,0.14483
1,8,0.27420,3.52220,0.14436
1,9,0.27110,3.55760,0.14388
1,10,0.26810,3.59410,0.14339
1,11,0.26540,3.63190,0.14290
1,12,0.26280,3.67100,0.14241
1,13,0.26040,3.71130,0.14192
1,14,0.25810,3.75290,0.14142
1,15,0.25580,3.79560,0.14093
1,16,0.25370,3.83890,0.14044
1,17,0.25170,3.88280,0.13996
1,18,0.24970,3.92700,0.13948
1,19,0.24780,3.97140,0.13900
1,20,0.24600,4.01580,0.13853
1,21,0.24420,4.06030,0.13807
1,22,0.24250,4.10460,0.13761
1,23,0.24080,4.14890,0.13715
1,24,0.23920,4.19300,0.13670
1,25,0.23760,4.23690,0.13626
1,26,0.23610,4.28060,0.13582
1,27,0.23460,4.32400,0.13539
1,28,0.23310,4.36710,0.13497
1,29,0.23170,4.41000,0.13455
1,30,0.23030,4.45250,0.13413
1,31,0.22900,4.49460,0.13372
1,32,0.22760,4.53630,0.13332
1,33,0.22630,4.57760,0.13292
1,34,0.22500,4.61850,0.13253
1,35,0.22370,4.65900,0.13215
1,36,0.22250,4.69900,0.13177
1,37,0.22130,4.73860,0.13139
1,38,0.22010,4.77780,0.13102
1,39,0.21890,4.81660,0.13066
1,40,0.21780,4.85490,0.13030
1,41,0.21660,4.89280,0.12994
1,42,0.21550,4.93030,0.12960
1,43,0.21440,4.96740,0.12925
1,44,0.21330,5.00410,0.12891
1,45,0.21220,5.04040,0.12858
1,46,0.21120,5.07630,0.12825
1,47,0.21010,5.11180,0.12792
1,48,0.20910,5.14690,0.12760
1,49,0.20810,5.18170,0.12729
1,50,0.20710,5.21610,0.12698
1,51,0.20610,5.25010,0.12667
1,52,0.20520,5.28370,0.12637
1,53,0.20420,5.31710,0.12607
1,54,0.20320,5.35000,0.12577
1,55,0.20230,5.38260,0.12548
1,56,0.20140,5.41490,0.12520
1,57,0.20050,5.44680,0.12491
1,58,0.19960,5.47840,0.12463
1,59,0.19870,5.50970,0.12436
1,60,0.19780,5.54070,0.12409
1,61,0.19690,5.57140,0.12382
1,62,0.19600,5.60180,0.12356
1,63,0.19520,5.63190,0.12330
1,64,0.19430,5.66170,0.12304
1,65,0.19350,5.69120,0.12279
1,66,0.19260,5.72050,0.12254
1,67,0.19180,5.74940,0.12229
1,68,0.19100,5.77810,0.12205
1,69,0.19020,5.80650,0.12181
1,70,0.18940,5.83460,0.12157
1,71,0.18860,5.86250,0.12134
1,72,0.18780,5.89010,0.12111
1,73,0.18700,5.91740,0.12088
1,74,0.18630,5.94450,0.12066
1,75,0.18550,5.97130,0.12044
1,76,0.18470,5.99790,0.12022
1,77,0.18400,6.02420,0.12001
1,78,0.18320,6.05030,0.11980
1,79,0.18250,6.07620,0.11959
1,80,0.18180,6.10180,0.11939
1,81,0.18100,6.12720,0.11918
1,82,0.18030,6.15230,0.11899
1,83,0.17960,6.17720,0.11879
1,84,0.17890,6.20190,0.11860
1,85,0.17820,6.22640,0.11841
1,86,0.17750,6.25070,0.11822
1,87,0.17680,6.27480,0.11803
1,88,0.17610,6.29860,0.11785
1,89,0.17540,6.32230,0.11767
