sex,height_cm,l,m,s
1,65.00000,-0.35210,7.43270,0.08217
1,65.10000,-0.35210,7.45630,0.08216
1,65.20000,-0.35210,7.47990,0.08216
1,65.30000,-0.35210,7.50340,0.08215
1,65.40000,-0.35210,7.52690,0.08214
1,65.50000,-0.35210,7.55040,0.08214
1,65.60000,-0.35210,7.57380,0.08214
1,65.70000,-0.35210,7.59730,0.08213
1,65.80000,-0.35210,7.62060,0.08213
1,65.90000,-0.35210,7.64400,0.08213
1,66.00000,-0.35210,7.66730,0.08212
1,66.10000,-0.35210,7.69060,0.08212
1,66.20000,-0.35210,7.71380,0.08212
1,66.30000,-0.35210,7.73700,0.08212
1,66.40000,-0.35210,7.76020,0.08212
1,66.50000,-0.35210,7.78340,0.08212
1,66.60000,-0.35210,7.80650,0.08212
1,66.70000,-0.35210,7.82960,0.08212
1,66.80000,-0.35210,7.85260,0.08212
1,66.90000,-0.35210,7.87570,0.08212
1,67.00000,-0.35210,7.89860,0.08213
1,67.10000,-0.35210,7.92160,0.08213
1,67.20000,-0.35210,7.94450,0.08213
1,67.30000,-0.35210,7.96740,0.08214
1,67.40000,-0.35210,7.99030,0.08214
1,67.50000,-0.35210,8.01320,0.08214
1,67.60000,-0.35210,8.03600,0.08215
1,67.70000,-0.35210,8.05880,0.08215
1,67.80000,-0.35210,8.08160,0.08216
1,67.90000,-0.35210,8.10440,0.08217
1,68.00000,-0.35210,8.12720,0.08217
1,68.10000,-0.35210,8.15000,0.08218
1,68.20000,-0.35210,8.17270,0.08219
1,68.30000,-0.35210,8.19550,0.08219
1,68.40000,-0.35210,8.21830,0.08220
1,68.50000,-0.35210,8.24100,0.08221
1,68.60000,-0.35210,8.26380,0.08222
1,68.70000,-0.35210,8.28650,0.08223
1,68.80000,-0.35210,8.30920,0.08224
1,68.90000,-0.35210,8.33200,0.08225
1,69.00000,-0.35210,8.35470,0.08226
1,69.10000,-0.35210,8.37740,0.08227
1,69.20000,-0.35210,8.40010,0.08228
1,69.30000,-0.35210,8.42270,0.08229
1,69.40000,-0.35210,8.44540,0.08230
1,69.50000,-0.35210,8.46800,0.08231
1,69.60000,-0.35210,8.49060,0.08232
1,69.70000,-0.35210,8.51320,0.08233
1,69.80000,-0.35210,8.53580,0.08235
1,69.90000,-0.35210,8.55830,0.08236
1,70.00000,-0.35210,8.58080,0.08237
1,70.10000,-0.35210,8.60320,0.08238
1,70.20000,-0.35210,8.62570,0.08240
1,70.30000,-0.35210,8.64800,0.08241
1,70.40000,-0.35210,8.67040,0.08242
1,70.50000,-0.35210,8.69270,0.08243
1,70.60000,-0.35210,8.71500,0.08245
1,70.70000,-0.35210,8.73720,0.08246
1,70.80000,-0.35210,8.75940,0.08248
1,70.90000,-0.35210,8.78150,0.08249
1,71.00000,-0.35210,8.80360,0.08250
1,71.10000,-0.35210,8.82570,0.08252
1,71.20000,-0.35210,8.84770,0.08253
1,71.30000,-0.35210,8.86970,0.08254
1,71.40000,-0.35210,8.89160,0.08256
1,71.50000,-0.35210,8.91350,0.08257
1,71.60000,-0.35210,8.93530,0.08259
