sex,length_cm,l,m,s
1,45.00000,-0.35210,2.44100,0.09182
1,45.10000,-0.35210,2.45770,0.09176
1,45.20000,-0.35210,2.47440,0.09170
1,45.30000,-0.35210,2.49110,0.09164
1,45.40000,-0.35210,2.50780,0.09159
1,45.50000,-0.35210,2.52440,0.09153
1,45.60000,-0.35210,2.54110,0.09147
1,45.70000,-0.35210,2.55780,0.09141
1,45.80000,-0.35210,2.57440,0.09135
1,45.90000,-0.35210,2.59110,0.09129
1,46.00000,-0.35210,2.60770,0.09124
1,46.10000,-0.35210,2.62440,0.09118
1,46.20000,-0.35210,2.64110,0.09112
1,46.30000,-0.35210,2.65780,0.09106
1,46.40000,-0.35210,2.67450,0.09100
1,46.50000,-0.35210,2.69130,0.09094
1,46.60000,-0.35210,2.70810,0.09088
1,46.70000,-0.35210,2.72490,0.09083
1,46.80000,-0.35210,2.74170,0.09077
1,46.90000,-0.35210,2.75860,0.09071
1,47.00000,-0.35210,2.77550,0.09065
1,47.10000,-0.35210,2.79250,0.09059
1,47.20000,-0.35210,2.80950,0.09053
1,47.30000,-0.35210,2.82660,0.09047
1,47.40000,-0.35210,2.84370,0.09042
1,47.50000,-0.35210,2.86090,0.09036
1,47.60000,-0.35210,2.87820,0.09030
1,47.70000,-0.35210,2.89550,0.09024
1,47.80000,-0.35210,2.91290,0.09018
1,47.90000,-0.35210,2.93040,0.09012
1,48.00000,-0.35210,2.94800,0.09007
1,48.10000,-0.35210,2.96570,0.09001
1,48.20000,-0.35210,2.98350,0.08995
1,48.30000,-0.35210,3.00140,0.08989
1,48.40000,-0.35210,3.01950,0.08983
1,48.50000,-0.35210,3.03770,0.08977
1,48.60000,-0.35210,3.05600,0.08972
1,48.70000,-0.35210,3.07450,0.08966
1,48.80000,-0.35210,3.09310,0.08960
1,48.90000,-0.35210,3.11190,0.08954
1,49.00000,-0.35210,3.13080,0.08948
1,49.10000,-0.35210,3.14990,0.08943
1,49.20000,-0.35210,3.16910,0.08937
1,49.30000,-0.35210,3.18840,0.08931
1,49.40000,-0.35210,3.20790,0.08925
1,49.50000,-0.35210,3.22760,0.08919
1,49.60000,-0.35210,3.24730,0.08913
1,49.70000,-0.35210,3.26720,0.08908
1,49.80000,-0.35210,3.28730,0.08902
1,49.90000,-0.35210,3.30750,0.08896
1,50.00000,-0.35210,3.32780,0.08890
1,50.10000,-0.35210,3.34820,0.08884
1,50.20000,-0.35210,3.36880,0.08878
1,50.30000,-0.35210,3.38940,0.08872
1,50.40000,-0.35210,3.41020,0.08867
1,50.50000,-0.35210,3.43110,0.08861
1,50.60000,-0.35210,3.45220,0.08855
1,50.70000,-0.35210,3.47330,0.08849
1,50.80000,-0.35210,3.49460,0.08843
1,50.90000,-0.35210,3.51610,0.08837
1,51.00000,-0.35210,3.53760,0.08831
1,51.10000,-0.35210,3.55930,0.08825
1,51.20000,-0.35210,3.58120,0.08819
1,51.30000,-0.35210,3.60320,0.08813
1,51.40000,-0.35210,3.62540,0.08807
1,51.50000,-0.35210,3.64770,0.08801
1,51.60000,-0.35210,3.67020,0.08795
1,51.70000,-0.35210,3.69290,0.08789
1,51.80000,-0.35210,3.71570,0.08783
1,51.90000,-0.35210,3.73880,0.08777
1,52.00000,-0.35210,3.76200,0.08771
1,52.10000,-0.35210,3.78550,0.08765
1,52.20000,-0.35210,3.80920,0.08759
1,52.30000,-0.35210,3.83300,0.08753
1,52.40000,-0.35210,3.85710,0.08747
1,52.50000,-0.35210,3.88140,0.08741
1,52.60000,-0.35210,3.90590,0.08735
1,52.70000,-0.35210,3.93060,0.08729
1,52.80000,-0.35210,3.95550,0.08723
1,52.90000,-0.35210,3.98060,0.08717
1,53.00000,-0.35210,4.00600,0.08711
1,53.10000,-0.35210,4.03150,0.08705
1,53.20000,-0.35210,4.05720,0.08699
1,53.30000,-0.35210,4.08310,0.08693
1,53.40000,-0.35210,4.10920,0.08687
1,53.50000,-0.35210,4.13540,0.08681
1,53.60000,-0.35210,4.16190,0.08675
1,53.70000,-0.35210,4.18850,0.08669
1,53.80000,-0.35210,4.21530,0.08663
1,53.90000,-0.35210,4.24220,0.08657
1,54.00000,-0.35210,4.26930,0.08651
1,54.10000,-0.35210,4.29650,0.08645
1,54.20000,-0.35210,4.32390,0.08639
1,54.30000,-0.35210,4.35130,0.08633
1,54.40000,-0.35210,4.37890,0.08627
1,54.50000,-0.35210,4.40660,0.08621
1,54.60000,-0.35210,4.43440,0.08615
1,54.70000,-0.35210,4.46230,0.08610
1,54.80000,-0.35210,4.49030,0.08604
1,54.90000,-0.35210,4.51850,0.08598
1,55.00000,-0.35210,4.54670,0.08592
1,55.10000,-0.35210,4.57500,0.08586
1,55.20000,-0.35210,4.60340,0.08580
1,55.30000,-0.35210,4.63190,0.08575
1,55.40000,-0.35210,4.66050,0.08569
1,55.50000,-0.35210,4.68920,0.08563
1,55.60000,-0.35210,4.71800,0.08558
1,55.70000,-0.35210,4.74690,0.08552
1,55.80000,-0.35210,4.77580,0.08546
1,55.90000,-0.35210,4.80480,0.08541
1,56.00000,-0.35210,4.83380,0.08535
1,56.10000,-0.35210,4.86290,0.08529
1,56.20000,-0.35210,4.89200,0.08524
1,56.30000,-0.35210,4.92120,0.08518
1,56.40000,-0.35210,4.95040,0.08513
1,56.50000,-0.35210,4.97960,0.08507
1,56.60000,-0.35210,5.00880,0.08502
1,56.70000,-0.35210,5.03810,0.08497
1,56.80000,-0.35210,5.06730,0.08491
1,56.90000,-0.35210,5.09660,0.08486
1,57.00000,-0.35210,5.12590,0.08481
1,57.10000,-0.35210,5.15510,0.08475
1,57.20000,-0.35210,5.18440,0.08470
1,57.30000,-0.35210,5.21370,0.08465
1,57.40000,-0.35210,5.24290,0.08460
1,57.50000,-0.35210,5.27210,0.08455
1,57.60000,-0.35210,5.30140,0.08449
1,57.70000,-0.35210,5.33060,0.08444
1,57.80000,-0.35210,5.35980,0.08439
1,57.90000,-0.35210,5.38890,0.08434
1,58.00000,-0.35210,5.41800,0.08430
1,58.10000,-0.35210,5.44710,0.08425
1,58.20000,-0.35210,5.47620,0.08420
1,58.30000,-0.35210,5.50530,0.08415
1,58.40000,-0.35210,5.53430,0.08410
1,58.50000,-0.35210,5.56320,0.08406
1,58.60000,-0.35210,5.59220,0.08401
1,58.70000,-0.35210,5.62100,0.08397
1,58.80000,-0.35210,5.64990,0.08392
1,58.90000,-0.35210,5.67870,0.08388
1,59.00000,-0.35210,5.70740,0.08383
1,59.10000,-0.35210,5.73610,0.08379
1,59.20000,-0.35210,5.76470,0.08375
1,59.30000,-0.35210,5.79330,0.08370
1,59.40000,-0.35210,5.82170,0.08366
1,59.50000,-0.35210,5.85010,0.08362
1,59.60000,-0.35210,5.87840,0.08358
1,59.70000,-0.35210,5.90670,0.08354
1,59.80000,-0.35210,5.93480,0.08350
1,59.90000,-0.35210,5.96280,0.08346
1,60.00000,-0.35210,5.99070,0.08342
1,60.10000,-0.35210,6.01850,0.08339
1,60.20000,-0.35210,6.04610,0.08335
1,60.30000,-0.35210,6.07370,0.08331
1,60.40000,-0.35210,6.10110,0.08328
1,60.50000,-0.35210,6.12840,0.08324
1,60.60000,-0.35210,6.15560,0.08321
1,60.70000,-0.35210,6.18270,0.08317
1,60.80000,-0.35210,6.20960,0.08314
1,60.90000,-0.35210,6.23650,0.08311
1,61.00000,-0.35210,6.26320,0.08308
1,61.10000,-0.35210,6.28990,0.08304
1,61.20000,-0.35210,6.31640,0.08301
1,61.30000,-0.35210,6.34280,0.08298
1,61.40000,-0.35210,6.36920,0.08295
1,61.50000,-0.35210,6.39540,0.08292
1,61.60000,-0.35210,6.42150,0.08290
1,61.70000,-0.35210,6.44750,0.08287
1,61.80000,-0.35210,6.47350,0.08284
1,61.90000,-0.35210,6.49930,0.08281
1,62.00000,-0.35210,6.52510,0.08279
1,62.10000,-0.35210,6.55080,0.08276
1,62.20000,-0.35210,6.57640,0.08273
1,62.30000,-0.35210,6.60190,0.08271
1,62.40000,-0.35210,6.62730,0.08268
1,62.50000,-0.35210,6.65270,0.08266
1,62.60000,-0.35210,6.67800,0.08264
1,62.70000,-0.35210,6.70330,0.08261
1,62.80000,-0.35210,6.72840,0.08259
1,62.90000,-0.35210,6.75350,0.08257
